month-year,tot_pub_debt_out_amt,Surplus (+) or Deficit (-),Total Outlays,Total Receipts
2015-03,18152056197489.27,-52910059930.36,287097397834.05,234187337903.69
2015-04,18152560126787.71,156714078439.25,315087162351.27,471801240790.52
2015-05,18152851678150.27,-82385278419.04,294771105836.73,212385827417.69
2015-06,18151997510872.44,51775764001.54,291157289359.24,342933053360.78
2015-07,18151322549156.91,-149186766112.85,374680133580.53,225493367467.68
2015-08,18151150179588.05,-64420519912.51,275257357118.38,210836837205.87
2015-09,18150617666484.33,91060531094.38,274412308651.86,365472839746.24
2015-10,18152981685747.52,-136532084814.92,347578330203.66,211046245388.74
2015-11,18827322966908.8,-64552919578.94,269520719513.56,204967799934.62
2015-12,18922179009420.89,-14443943853.5,364074656649.9,349630712796.4
2016-01,19012827698417.93,55163288514.89,258415692566.29,313578981081.18
2016-02,19125455057425.8,-192614001706.36,361760857221.56,169146855515.2
2016-03,19264938619643.07,-108042730738.78,335890557700.11,227847826961.33
2016-04,19187387483983.37,106451871836.68,331980472597.85,438432344434.53
2016-05,19265451572330.71,-52507412844.54,277110844240.98,224603431396.44
2016-06,19381591140792.22,6251987440.16,323320235303.94,329572222744.1
2016-07,19427694579786.64,-112815238504.5,322812902740.45,209997664235.95
2016-08,19510296242765.66,-107111575680.04,338438387773.61,231326812093.57
2016-09,19573444713936.79,33359494054.96,323177871148.84,356537365203.8
2016-10,19805715214641.75,-44192200976.74,265884269147.69,221692068170.95
2016-11,19948064697245.75,-136650574903.56,336525529103.82,199874954200.26
2016-12,19976826951047.8,-27515798558.66,346719932707.95,319204134149.29
2017-01,19937261314503.29,51257177643.0,292812107485.22,344069285128.22
2017-02,19959593604841.58,-192044465335.46,363757117828.15,171712652492.69
2017-03,19846420062676.87,-176232325308.05,392815879736.24,216583554428.19
2017-04,19846129308635.72,182428057648.71,273177319153.18,455605376801.89
2017-05,19845941916894.67,-88425994366.18,328843969298.7,240417974932.52
2017-06,19844554182651.33,-90233191070.67,428893678784.13,338660487713.46
2017-07,19844908989217.09,-42939377600.97,274979526054.58,232040148453.61
2017-08,19844533441924.39,-107688776779.88,333999746072.38,226310969292.5
2017-09,20244900016053.51,8000082935.23,340722215825.37,348722298760.6
2017-10,20442473549889.39,-63214017966.95,298554668742.65,235340650775.7
2017-11,20590391942312.26,-138547437817.59,346921699991.97,208374262174.38
2017-12,20492746546193.75,-23193559488.72,348990449738.69,325796890249.97
2018-01,20493729921939.72,49235720707.92,311801870078.7,361037590786.62
2018-02,20855671542905.95,-215248172422.4,370870889472.29,155622717049.89
2018-03,21089642954195.85,-208743249809.88,419575619323.83,210832369513.95
2018-04,21068200197433.39,214255113667.31,296191554603.63,510446668270.94
2018-05,21145215185726.27,-146796443365.56,363871381259.89,217074937894.33
2018-06,21195069635322.81,-74857990463.56,391136184565.14,316278194101.58
2018-07,21313061060202.36,-76865229670.62,302131452482.72,225266222812.1
2018-08,21458849674105.03,-214147525480.64,433262791608.34,219115266127.7
2018-09,21516058183180.23,119116008880.32,224443335336.63,343559344216.95
2018-10,21702369768174.47,-100491142544.73,353182669423.54,252691526878.81
2018-11,21850093880675.8,-204902557398.78,410863685973.08,205961128574.3
2018-12,21974095705790.55,-13539358629.05,326123396887.38,312584038258.33
2019-01,21982423036475.23,8682866610.98,331297182031.4,339980048642.38
2019-02,22115526445599.07,-233977248826.8,401242717005.61,167265468178.81
2019-03,22027880157027.99,-146945025329.54,375756255818.5,228811230488.96
2019-04,22027668200019.47,160304508909.86,375240021465.73,535544530375.59
2019-05,22026423883026.38,-207768391346.66,439832889370.43,232064498023.77
2019-06,22023282617075.45,-8476318454.22,342428650967.98,333952332513.76
2019-07,22022368854863.19,-119695806193.46,371043593325.4,251347787131.94
2019-08,22460466625952.37,-200344348929.13,428309326514.35,227964977585.22
2019-09,22719401753433.78,82767658464.78,291260498897.64,374028157362.42
2019-10,23008409564494.99,-134467564933.81,379987722772.71,245520157838.9
2019-11,23076198934547.7,-208838294456.74,434023709954.02,225185415497.28
2019-12,23201380134806.73,-13272557316.42,349077958801.31,335805401484.89
2020-01,23223812882713.14,-32593280007.64,404881193776.34,372287913768.7
2020-02,23409959150243.63,-235335213874.57,423285753524.62,187950539650.05
2020-03,23686870812640.08,-119125164718.02,355891396249.82,236766231531.8
2020-04,24974171868164.35,-737850621079.65,979713629395.57,241863008315.92
2020-05,25746260186742.66,-398821413659.68,572681970598.25,173860556938.57
2020-06,26477240853124.76,-864074068491.71,1104902736844.42,240828668352.71
2020-07,26524953451577.6,-62991726394.54,626487389535.23,563495663140.69
2020-08,26728835852386.44,-200095015107.66,423316292117.83,223221277010.17
2020-09,26945391194615.15,-124610558419.19,497779905231.44,373169346812.25
2020-10,27135476803126.2,-284070537172.84,521768503579.94,237697966407.1
2020-11,27446288188250.17,-145266263529.85,364818859117.95,219552595588.1
2020-12,27747797947667.77,-143562327439.13,489681555836.04,346119228396.91
2021-01,27784553033005.01,-162832489467.54,547483268425.66,384650778958.12
2021-02,27902363734475.7,-310921942504.67,559235999280.85,248314056776.18
2021-03,28132570303600.16,-659591618440.58,927205937523.83,267614319083.25
2021-04,28174714484167.37,-225579460325.77,664765655638.25,439186195312.48
2021-05,28199008338520.65,-131953063168.21,595697951521.98,463744888353.77
2021-06,28529435873139.77,-174160550262.16,623359216746.89,449198666484.73
2021-07,28427721872418.7,-302050488343.5,564050187963.11,261999699619.61
2021-08,28427317184527.64,-170634653661.87,439012736559.66,268378082897.79
2021-09,28428918570048.68,-61544251212.68,521067341162.83,459523089950.15
2021-10,28908765340554.33,-165055366933.25,448982728155.82,283927361222.57
2021-11,28907986914620.48,-191335040521.97,472543072351.79,281208031829.82
2021-12,29617214856051.75,-21303129425.23,508041030982.77,486737901557.54
2022-01,30012386059238.29,118698858241.66,346379914005.83,465078772247.49
2022-02,30290352672788.26,-216589752056.05,506475495504.95,289885743448.9
2022-03,30400959928180.97,-192682386656.93,507854542821.65,315172156164.72
2022-04,30374154511898.01,308215060526.79,555433548036.31,863648608563.1
2022-05,30499618521246.79,-66222561209.58,455215709002.77,388993147793.19
2022-06,30568582029058.95,-88841512926.09,549602924793.55,460761411867.46
2022-07,30595108567190.06,-211051760050.26,480386813941.84,269335053891.58
2022-08,30936075214882.41,-219596240949.64,523322641544.48,303726400594.84
2022-09,30928911613306.73,-429673478961.84,917396367193.88,487722888232.04
2022-10,31238301149359.52,-87797836311.39,406374243972.26,318576407660.87
2022-11,31413322465316.3,-248534880652.58,500645689634.98,252110808982.4
2022-12,31419689421557.9,-85000736577.88,539943108237.4,454942371659.52
2023-01,31454982227739.16,-38783771839.22,486072089801.51,447288317962.29
2023-02,31459291458579.46,-262433843194.23,524547752690.11,262113909495.88
2023-03,31458437575028.18,-378076316471.74,691316680884.15,313240364412.41
2023-04,31457814648415.87,176180790349.12,462339570809.39,638520361158.51
2023-05,31464457465522.98,-240348239658.37,547835120008.78,307486880350.41
2023-06,32332274184762.99,-227768412538.05,646085314907.01,418316902368.96
2023-07,32608585072666.14,-220782097353.6,496942951497.45,276160854143.85
2023-08,32914149363760.95,89255572693.73,193874633463.53,283130206157.26
2023-09,33167334044723.16,-170982200874.78,638454884244.74,467472683369.96
2023-10,33699580339128.49,-66563551129.73,469997092049.53,403433540919.8
2023-11,33878679367501.2,-314012002287.09,588842038068.24,274830035781.15
2023-12,34001493655565.48,-129365414919.79,558676069485.87,429310654566.08
2024-01,34191150402393.64,-21930356331.02,499250011788.18,477319655457.16
2024-02,34471083238111.75,-296274648079.89,567400716838.98,271126068759.09
2024-03,34586533479349.88,-236456823950.2,568547833098.21,332091009148.01
2024-04,34616994016250.88,209529306625.33,566668786551.61,776198093176.94
2024-05,34667115142400.83,-347130893691.65,670777880670.05,323646986978.4
